hora;direcao;linha
19:10:32.630;RX;ESP-ROM:esp32s3-20210327
19:10:32.631;RX;Build:Mar 27 2021
19:10:32.633;RX;rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
19:10:32.634;RX;SPIWP:0xee
19:10:32.634;RX;mode:DIO, clock div:1
19:10:32.635;RX;load:0x3fce3808,len:0x4bc
19:10:32.636;RX;load:0x403c9700,len:0xbd8
19:10:32.637;RX;load:0x403cc700,len:0x2a0c
19:10:32.638;RX;entry 0x403c98d0
19:10:32.640;RX;"sep=;"
19:10:32.753;RX;"ms;SP_mm;Y1;Y2;Y3;Y4;Y5;Y6;PWM1;PWM2;PWM3;PWM4;PWM5;PWM6"
19:10:32.763;RX;"99;0.000;1.879;3.662;1.901;1.570;1.879;2.099;17;30;19;22;21;22"
19:10:32.764;RX;"200;0.000;1.768;3.596;1.812;1.923;1.923;2.319;17;30;18;24;21;23"
19:10:32.876;RX;"300;0.000;1.790;3.178;1.857;1.790;1.879;2.165;17;28;19;23;21;22"
19:10:32.983;RX;"399;0.000;1.857;3.420;1.928;1.746;1.901;2.121;17;29;19;23;21;22"
19:10:33.090;RX;"500;0.000;1.592;3.420;1.680;1.768;1.901;2.209;16;29;18;23;21;22"
19:10:33.195;RX;"600;0.000;1.768;3.398;1.989;1.658;1.790;2.209;17;29;19;23;20;22"
19:10:33.303;RX;"699;0.000;1.614;3.354;1.901;1.768;1.857;2.143;16;29;19;23;21;22"
19:10:33.412;RX;"800;0.000;1.724;3.486;1.945;1.658;1.835;2.033;17;29;19;23;21;22"
19:10:33.524;RX;"900;0.000;1.746;3.750;1.989;2.077;1.857;2.121;17;31;19;25;21;22"
19:10:33.633;RX;"999;0.000;1.592;3.310;1.989;1.812;1.812;2.165;16;29;19;24;20;22"
19:10:33.738;RX;"1100;0.000;1.658;3.288;1.812;1.548;1.923;2.187;16;28;18;22;21;22"
19:10:33.845;RX;"1200;0.000;1.504;3.596;1.923;1.812;1.923;2.055;16;30;19;24;21;22"
19:10:33.845;RX;"1300;0.000;1.504;3.442;1.923;1.504;1.790;2.165;16;29;19;22;20;22"
19:10:33.954;RX;"1400;0.000;1.812;3.552;1.835;1.526;1.658;2.077;17;30;19;22;20;22"
19:10:34.063;RX;"1500;0.000;1.680;3.640;1.724;1.967;1.879;2.209;16;30;18;24;21;22"
19:10:34.287;RX;"1600;0.000;1.680;3.508;1.967;2.055;1.812;2.121;16;30;19;25;20;22"
19:10:34.288;RX;"1700;0.000;1.768;3.376;2.033;1.636;1.923;2.099;17;29;20;23;21;22"
19:10:34.394;RX;"1800;0.000;1.768;3.464;1.923;1.724;1.879;2.121;17;29;19;23;21;22"
19:10:34.500;RX;"1900;0.000;1.592;3.508;1.901;1.857;1.812;2.143;16;30;19;24;20;22"
19:10:34.609;RX;"2000;0.000;1.702;3.508;1.901;1.504;1.790;2.165;17;30;19;22;20;22"
19:10:34.721;RX;"2100;0.000;1.614;3.552;1.923;1.746;1.790;2.121;16;30;19;23;20;22"
19:10:34.829;RX;"2200;0.000;1.790;3.794;1.967;1.879;2.011;2.187;17;31;19;24;21;22"
19:10:34.937;RX;"2300;0.000;1.592;3.288;1.857;2.077;1.857;2.099;16;28;19;25;21;22"
19:10:35.046;RX;"2400;0.000;1.746;3.442;2.011;1.857;1.790;2.165;17;29;19;24;20;22"
19:10:35.046;RX;"2500;0.000;1.482;3.618;1.812;1.592;1.790;1.614;15;30;18;22;20;19"
19:10:35.156;RX;"2600;0.000;1.812;3.750;1.967;1.658;1.746;2.143;17;31;19;23;20;22"
19:10:35.264;RX;"2700;0.000;1.879;3.420;1.901;1.592;1.945;2.077;17;29;19;22;21;22"
19:10:35.373;RX;"2800;0.000;1.570;3.530;1.746;1.835;1.835;1.967;16;30;18;24;21;21"
19:10:35.483;RX;"2900;0.000;1.901;3.464;2.077;1.658;1.945;2.121;18;29;20;23;21;22"
19:10:35.591;RX;"3000;0.000;1.702;3.574;1.857;2.033;1.812;1.923;17;30;19;25;20;21"
19:10:35.702;RX;"3100;0.000;1.702;3.486;1.857;1.702;1.879;2.099;17;29;19;23;21;22"
19:10:35.811;RX;"3200;0.000;1.548;3.640;1.967;1.790;1.812;2.165;16;30;19;23;20;22"
19:10:35.923;RX;"3301;0.000;1.636;3.288;1.835;1.879;1.901;2.099;16;28;19;24;21;22"
19:10:36.031;RX;"3401;0.000;1.923;3.530;1.702;2.231;1.989;2.187;18;30;18;26;21;22"
19:10:36.136;RX;"3500;0.000;1.504;3.508;2.055;2.143;1.746;2.099;16;30;20;25;20;22"
19:10:36.241;RX;"3601;0.000;1.835;3.266;1.879;1.680;1.812;2.209;17;28;19;23;20;22"
19:10:36.347;RX;"3701;0.000;2.033;3.530;1.768;1.812;1.746;2.253;18;30;18;24;20;23"
19:10:36.349;RX;"3801;0.000;1.812;3.442;2.099;1.812;1.835;2.143;17;29;20;24;21;22"
19:10:36.452;RX;"3901;0.000;1.504;3.530;1.835;1.812;1.680;2.165;16;30;19;24;20;22"
19:10:36.561;RX;"4001;0.000;1.570;3.574;2.055;1.768;1.923;2.165;16;30;20;23;21;22"
19:10:36.667;RX;"4101;0.000;1.680;3.442;1.812;1.702;1.835;2.099;16;29;18;23;21;22"
19:10:36.772;RX;"4201;0.000;1.482;3.420;1.901;1.724;1.680;2.121;15;29;19;23;20;22"
19:10:36.877;RX;"4301;0.000;1.636;3.486;1.967;1.680;1.724;2.077;16;29;19;23;20;22"
19:10:36.982;RX;"4401;0.000;1.592;3.332;1.901;1.416;1.879;2.099;16;29;19;22;21;22"
19:10:37.093;RX;"4501;0.000;1.923;3.486;1.857;1.835;1.857;2.143;18;29;19;24;21;22"
19:10:37.201;RX;"4601;0.000;1.923;3.442;1.262;1.636;1.901;2.143;18;29;16;23;21;22"
19:10:37.308;RX;"4701;0.000;1.790;3.530;1.901;1.812;1.724;2.165;17;30;19;24;20;22"
19:10:37.411;RX;"4801;0.000;1.526;3.442;2.077;1.130;1.901;2.099;16;29;20;20;21;22"
19:10:37.517;RX;"4901;0.000;1.724;3.266;1.923;1.923;1.923;2.231;17;28;19;24;21;23"
19:10:37.626;RX;"5001;0.000;1.680;3.464;1.989;1.812;1.879;2.121;16;29;19;24;21;22"
19:10:37.737;RX;"5101;0.000;1.790;3.442;1.901;1.923;1.680;2.209;17;29;19;24;20;22"
19:10:37.845;RX;"5201;0.000;1.768;3.530;1.989;1.768;1.879;2.231;17;30;19;23;21;23"
19:10:37.849;RX;"5301;0.000;1.879;3.442;1.923;2.121;1.812;2.253;17;29;19;25;20;23"
19:10:37.953;RX;"5401;0.000;1.790;3.486;1.945;1.901;1.812;2.253;17;29;19;24;20;23"
19:10:38.063;RX;"5501;30.000;3.200;3.023;2.121;1.945;2.033;2.099;145;27;20;24;22;22"
19:10:38.174;RX;"5601;30.000;6.282;3.310;2.033;1.857;1.835;2.231;130;29;20;24;21;23"
19:10:38.286;RX;"5701;30.000;8.572;3.486;2.077;1.812;1.724;2.187;118;29;20;24;20;22"
19:10:38.396;RX;"5801;30.000;10.884;3.376;1.901;1.967;1.901;2.055;107;29;19;24;21;22"
19:10:38.508;RX;"5901;30.000;12.667;3.508;1.746;1.945;1.835;2.077;98;30;18;24;21;22"
19:10:38.617;RX;"6001;30.000;14.561;3.618;1.680;1.812;1.879;2.033;88;30;18;24;21;22"
19:10:38.726;RX;"6101;30.000;16.609;3.464;1.989;1.724;1.857;2.231;78;29;19;23;21;23"
19:10:38.836;RX;"6201;30.000;17.423;3.178;1.945;1.548;1.901;2.121;74;28;19;22;21;22"
19:10:38.945;RX;"6301;30.000;18.700;3.706;1.945;1.526;1.901;2.121;67;31;19;22;21;22"
19:10:38.948;RX;"6401;30.000;19.779;3.266;1.945;1.636;1.768;2.077;62;28;19;23;20;22"
19:10:39.051;RX;"6501;30.000;20.440;3.662;1.812;1.790;1.768;2.143;59;30;18;23;20;22"
19:10:39.162;RX;"6601;30.000;21.717;3.442;1.967;1.592;1.768;2.099;52;29;19;22;20;22"
19:10:39.270;RX;"6701;30.000;22.443;3.882;1.989;1.658;1.746;2.165;49;31;19;23;20;22"
19:10:39.378;RX;"6801;30.000;23.148;3.442;1.989;1.394;1.857;2.121;45;29;19;21;21;22"
19:10:39.487;RX;"6902;30.000;23.500;3.750;1.812;1.416;1.812;2.231;43;31;18;22;20;23"
19:10:39.593;RX;"7002;30.000;23.919;3.178;1.835;1.724;1.857;2.033;41;28;19;23;21;22"
19:10:39.704;RX;"7101;30.000;24.667;3.310;1.945;1.438;1.835;2.077;38;29;19;22;21;22"
19:10:39.815;RX;"7202;30.000;25.350;3.574;2.143;1.658;1.812;2.209;34;30;20;23;20;22"
19:10:39.924;RX;"7302;30.000;25.592;3.574;1.857;1.945;1.901;2.165;33;30;19;24;21;22"
19:10:40.035;RX;"7402;30.000;25.504;3.354;2.055;1.901;1.857;2.143;33;29;20;24;21;22"
19:10:40.144;RX;"7503;30.000;26.275;3.332;2.099;1.857;1.901;2.143;30;29;20;24;21;22"
19:10:40.253;RX;"7603;30.000;25.856;3.552;2.099;1.812;1.835;2.099;32;30;20;24;21;22"
19:10:40.255;RX;"7703;30.000;26.253;3.530;1.945;1.945;1.857;1.989;30;30;19;24;21;21"
19:10:40.360;RX;"7803;30.000;26.781;3.508;1.989;1.945;1.857;2.077;27;30;19;24;21;22"
19:10:40.469;RX;"7903;30.000;27.089;3.596;2.253;1.857;1.857;2.187;26;30;21;24;21;22"
19:10:40.576;RX;"8003;30.000;26.847;3.398;1.835;2.011;1.614;2.121;27;29;19;25;19;22"
19:10:40.683;RX;"8103;30.000;27.221;3.552;1.945;1.658;2.121;2.187;25;30;19;23;22;22"
19:10:40.789;RX;"8203;30.000;27.199;3.508;1.989;1.658;1.989;2.209;25;30;19;23;21;22"
19:10:40.901;RX;"8303;30.000;27.265;3.530;1.768;1.835;1.817;2.099;25;30;18;24;20;22"
19:10:41.013;RX;"8403;30.000;27.353;3.662;2.033;1.812;1.724;2.033;24;30;20;24;20;22"
19:10:41.123;RX;"8503;30.000;27.199;3.398;1.857;2.099;1.879;2.143;25;29;19;25;21;22"
19:10:41.239;RX;"8603;30.000;27.486;3.860;2.099;1.901;1.901;2.121;24;31;20;24;21;22"
19:10:41.352;RX;"8703;30.000;27.464;3.508;2.033;1.857;1.901;2.099;24;30;20;24;21;22"
19:10:41.355;RX;"8803;30.000;27.309;3.376;1.901;1.790;1.901;2.165;24;29;19;23;21;22"
19:10:41.458;RX;"8904;30.000;27.001;3.794;2.011;1.857;1.768;2.187;26;31;19;24;20;22"
19:10:41.562;RX;"9004;30.000;27.309;3.618;1.967;1.923;1.702;2.143;24;30;19;24;20;22"
19:10:41.669;RX;"9104;30.000;27.441;3.596;2.011;1.768;1.901;1.989;24;30;19;23;21;21"
19:10:41.778;RX;"9205;30.000;27.486;3.486;1.967;1.746;1.879;2.165;24;29;19;23;21;22"
19:10:41.887;RX;"9305;30.000;27.530;3.552;1.768;1.967;1.857;2.165;23;30;18;24;21;22"
19:10:41.996;RX;"9405;30.000;27.397;3.398;2.055;1.879;1.857;2.165;24;29;20;24;21;22"
19:10:42.102;RX;"9505;30.000;27.375;3.486;1.945;1.746;1.835;2.099;24;29;19;23;21;22"
19:10:42.211;RX;"9605;30.000;27.508;3.398;2.033;1.702;1.901;2.077;23;29;20;23;21;22"
19:10:42.323;RX;"9706;30.000;27.618;3.530;1.989;1.592;1.812;2.121;23;30;19;22;20;22"
19:10:42.434;RX;"9806;30.000;27.508;3.156;1.945;1.945;1.812;2.165;23;28;19;24;20;22"
19:10:42.544;RX;"9905;30.000;27.662;3.508;1.967;1.614;1.901;2.187;23;30;19;23;21;22"
19:10:42.654;RX;"10006;30.000;27.441;3.640;1.857;1.901;1.989;2.077;24;30;19;24;21;22"
19:10:42.657;RX;"10106;30.000;27.419;3.486;2.033;1.636;1.768;2.165;24;29;20;23;20;22"
19:10:42.762;RX;"10205;30.000;27.552;3.618;1.967;2.077;1.790;2.143;23;30;19;25;20;22"
19:10:42.872;RX;"10306;30.000;27.397;3.486;2.055;1.680;1.658;2.099;24;29;20;23;20;22"
19:10:42.980;RX;"10406;30.000;27.662;3.530;1.857;1.835;1.945;2.165;23;30;19;24;21;22"
19:10:43.089;RX;"10505;30.000;27.706;3.552;1.923;2.011;1.812;2.143;22;30;19;25;20;22"
19:10:43.199;RX;"10606;30.000;27.353;3.926;1.658;1.945;1.901;2.077;24;32;18;24;21;22"
19:10:43.311;RX;"10706;30.000;27.442;3.222;1.680;1.636;1.967;2.209;24;28;18;23;21;22"
19:10:43.420;RX;"10805;30.000;27.309;3.420;1.680;1.835;1.945;2.143;24;29;18;24;21;22"
19:10:43.531;RX;"10906;30.000;27.662;3.376;1.901;1.460;1.901;2.055;23;29;19;22;21;22"
19:10:43.643;RX;"11006;30.000;27.574;3.464;1.768;1.901;2.077;2.165;23;29;18;24;22;22"
19:10:43.752;RX;"11105;30.000;27.618;3.244;1.967;1.702;1.548;2.099;23;28;19;23;19;22"
19:10:43.756;RX;"11206;30.000;27.596;3.178;1.879;2.165;1.879;2.187;23;28;19;25;21;22"
19:10:43.862;RX;"11306;30.000;27.486;3.684;1.812;1.945;1.945;2.143;24;30;18;24;21;22"
19:10:43.971;RX;"11405;30.000;27.574;3.640;1.967;1.746;1.923;2.187;23;30;19;23;21;22"
19:10:44.078;RX;"11506;30.000;26.957;3.552;1.636;1.768;1.923;2.165;26;30;18;23;21;22"
19:10:44.187;RX;"11606;30.000;27.441;3.882;1.967;1.923;1.923;2.253;24;31;19;24;21;23"
19:10:44.295;RX;"11706;30.000;27.530;3.684;1.438;1.857;1.812;2.209;23;30;17;24;20;22"
19:10:44.401;RX;"11807;30.000;27.618;3.662;2.077;1.746;1.835;2.187;23;30;20;23;21;22"
19:10:44.509;RX;"11907;30.000;27.618;3.574;1.835;1.923;1.790;2.099;23;30;19;24;20;22"
19:10:44.620;RX;"12007;30.000;27.772;3.596;2.099;1.724;1.746;2.231;22;30;20;23;20;23"
19:10:44.730;RX;"12107;30.000;27.552;3.552;1.901;1.746;1.658;2.143;23;30;19;23;20;22"
19:10:44.837;RX;"12207;30.000;27.618;3.464;1.812;1.504;1.945;2.055;23;29;18;22;21;22"
19:10:44.947;RX;"12307;30.000;27.508;3.662;2.165;1.945;1.857;2.143;23;30;20;24;21;22"
19:10:45.057;RX;"12407;30.000;27.640;3.266;2.143;1.548;1.901;2.165;23;28;20;22;21;22"
19:10:45.059;RX;"12507;50.000;28.586;3.574;1.724;1.901;1.879;2.099;118;30;18;24;21;22"
19:10:45.166;RX;"12607;50.000;30.480;3.486;1.945;1.790;1.879;2.121;109;29;19;23;21;22"
19:10:45.275;RX;"12707;50.000;32.792;3.530;1.592;1.901;1.857;2.121;97;30;17;24;21;22"
19:10:45.384;RX;"12807;50.000;34.267;3.508;2.011;1.812;1.901;2.187;90;30;19;24;21;22"
19:10:45.494;RX;"12907;50.000;36.007;3.508;2.165;1.504;1.746;2.077;81;30;20;22;20;22"
19:10:45.601;RX;"13007;50.000;37.306;3.530;2.011;1.989;1.879;2.187;74;30;19;24;21;22"
19:10:45.711;RX;"13107;50.000;38.539;3.178;1.967;1.790;2.033;2.055;68;28;19;23;22;22"
19:10:45.820;RX;"13207;50.000;39.441;3.376;1.945;1.724;1.923;2.033;64;29;19;23;21;22"
19:10:45.930;RX;"13307;50.000;40.674;3.772;1.857;1.945;2.121;2.165;58;31;19;24;22;22"
19:10:46.037;RX;"13407;50.000;41.643;3.310;1.857;1.680;1.989;2.165;53;29;19;23;21;22"
19:10:46.146;RX;"13507;50.000;42.304;3.640;1.857;1.901;1.812;2.055;49;30;19;24;20;22"
19:10:46.258;RX;"13607;50.000;42.766;3.530;1.923;1.967;1.724;2.143;47;30;19;24;20;22"
19:10:46.262;RX;"13707;50.000;43.515;3.618;1.945;1.680;1.724;2.165;43;30;19;23;20;22"
19:10:46.369;RX;"13807;50.000;44.131;2.913;1.945;1.680;1.768;2.121;40;27;19;23;20;22"
19:10:46.475;RX;"13907;50.000;45.012;3.706;2.033;2.077;1.790;2.143;36;31;20;25;20;22"
19:10:46.585;RX;"14007;50.000;44.660;3.508;2.011;1.768;1.945;2.121;38;30;19;23;21;22"
19:10:46.689;RX;"14107;50.000;45.716;3.530;2.011;1.724;1.857;2.121;32;30;19;23;21;22"
19:10:46.796;RX;"14207;50.000;45.893;3.420;2.011;1.570;1.879;2.165;32;29;19;22;21;22"
19:10:46.903;RX;"14307;50.000;46.157;3.596;1.967;2.077;1.724;2.297;30;30;19;25;20;23"
