;ms;sp;fb
20:33:01.810;179699;0.000;7.351
20:33:01.915;179799;0.000;7.278
20:33:02.020;179899;0.000;7.326
20:33:02.125;179999;0.000;7.322
20:33:02.234;180099;0.000;7.342
20:33:02.340;180199;0.000;7.284
20:33:02.445;180299;0.000;7.297
20:33:02.550;180399;0.000;7.316
20:33:02.655;180499;0.000;7.311
20:33:02.762;180599;0.000;7.331
20:33:02.874;180699;0.000;7.280
20:33:02.876;180799;0.000;7.340
20:33:02.986;180899;0.000;7.298
20:33:03.097;180999;0.000;7.308
20:33:03.208;181099;0.000;7.300
20:33:03.318;181199;0.000;7.335
20:33:03.428;181299;0.000;7.274
20:33:03.536;181399;30.000;7.331
20:33:03.645;181499;30.000;7.327
20:33:03.757;181599;30.000;7.970
20:33:03.869;181699;30.000;7.695
20:33:03.870;181799;30.000;7.929
20:33:03.981;181899;30.000;7.890
20:33:04.094;181999;30.000;8.180
20:33:04.204;182099;30.000;8.503
20:33:04.312;182199;30.000;8.715
20:33:04.422;182299;30.000;8.415
20:33:04.531;182399;30.000;8.688
20:33:04.642;182499;30.000;8.812
20:33:04.748;182599;30.000;8.720
20:33:04.855;182699;30.000;8.915
20:33:04.961;182799;30.000;9.063
20:33:05.066;182899;30.000;9.038
20:33:05.069;182999;30.000;9.053
20:33:05.171;183099;30.000;9.509
20:33:05.276;183199;30.000;9.479
20:33:05.381;183299;30.000;9.631
20:33:05.486;183399;30.000;9.744
20:33:05.597;183499;30.000;9.943
20:33:05.706;183599;30.000;9.890
20:33:05.818;183699;30.000;10.226
20:33:05.927;183799;30.000;10.296
20:33:06.038;183899;30.000;10.140
20:33:06.150;183999;30.000;10.456
20:33:06.261;184099;30.000;10.582
20:33:06.371;184199;30.000;10.535
20:33:06.375;184299;30.000;10.769
20:33:06.476;184399;30.000;10.765
20:33:06.583;184499;30.000;10.840
20:33:06.688;184599;30.000;11.085
20:33:06.796;184699;30.000;10.980
20:33:06.906;184799;30.000;10.948
20:33:07.015;184899;30.000;10.734
20:33:07.126;184999;30.000;10.905
20:33:07.238;185099;30.000;10.884
20:33:07.347;185199;30.000;10.725
20:33:07.458;185299;30.000;10.791
20:33:07.569;185399;30.000;10.831
20:33:07.572;185499;30.000;10.838
20:33:07.678;185599;30.000;10.679
20:33:07.790;185699;30.000;10.932
20:33:07.901;185799;30.000;11.337
20:33:08.012;185899;30.000;11.273
20:33:08.124;185999;30.000;10.739
20:33:08.235;186100;30.000;10.955
20:33:08.346;186199;30.000;11.140
20:33:08.456;186299;30.000;10.920
20:33:08.566;186399;30.000;10.952
20:33:08.568;186499;30.000;10.675
20:33:08.676;186599;30.000;10.918
20:33:08.786;186699;30.000;10.776
20:33:08.895;186799;30.000;10.774
20:33:09.000;186899;30.000;10.927
20:33:09.105;186999;30.000;10.636
20:33:09.211;187099;30.000;11.280
20:33:09.316;187199;30.000;11.137
20:33:09.421;187299;30.000;11.172
20:33:09.526;187399;30.000;10.922
20:33:09.634;187499;30.000;10.930
20:33:09.741;187599;30.000;11.054
20:33:09.846;187699;30.000;11.001
20:33:09.951;187799;30.000;11.073
20:33:10.056;187899;30.000;10.798
20:33:10.166;187999;30.000;10.789
20:33:10.167;188099;30.000;11.019
20:33:10.271;188199;30.000;10.883
20:33:10.376;188299;30.000;10.932
20:33:10.485;188399;30.000;10.904
20:33:10.597;188499;30.000;10.999
20:33:10.709;188599;30.000;10.928
20:33:10.821;188699;30.000;10.892
20:33:10.933;188799;30.000;10.913
20:33:11.041;188899;30.000;11.035
20:33:11.153;188999;30.000;10.814
20:33:11.265;189099;30.000;11.031
20:33:11.267;189199;30.000;10.770
20:33:11.377;189299;30.000;10.705
20:33:11.486;189399;30.000;10.811
20:33:11.595;189499;30.000;10.924
20:33:11.708;189599;30.000;11.587
20:33:11.819;189699;30.000;10.972
20:33:11.931;189799;30.000;10.972
20:33:12.038;189899;30.000;10.951
20:33:12.150;189999;50.000;11.203
20:33:12.258;190099;50.000;11.346
20:33:12.369;190199;50.000;11.867
20:33:12.370;190299;50.000;12.484
20:33:12.479;190399;50.000;12.739
20:33:12.590;190499;50.000;13.103
20:33:12.702;190599;50.000;13.504
20:33:12.812;190699;50.000;14.294
20:33:12.923;190799;50.000;14.152
20:33:13.030;190899;50.000;14.988
20:33:13.142;190999;50.000;15.186
20:33:13.253;191099;50.000;15.797
20:33:13.363;191199;50.000;16.351
20:33:13.475;191299;50.000;16.346
20:33:13.478;191399;50.000;16.840
20:33:13.587;191500;50.000;17.220
20:33:13.698;191599;50.000;17.422
20:33:13.809;191699;50.000;17.999
20:33:13.920;191799;50.000;18.695
20:33:14.031;191899;50.000;18.643
20:33:14.136;191999;50.000;18.891
20:33:14.241;192099;50.000;19.582
20:33:14.346;192199;50.000;19.582
20:33:14.451;192299;50.000;19.679
20:33:14.556;192399;50.000;20.187
20:33:14.661;192499;50.000;20.642
20:33:14.770;192599;50.000;20.660
20:33:14.774;192699;50.000;20.930
20:33:14.878;192799;50.000;21.003
20:33:14.988;192899;50.000;21.695
20:33:15.096;192999;50.000;21.650
20:33:15.201;193099;50.000;22.157
20:33:15.306;193199;50.000;22.110
20:33:15.411;193299;50.000;22.653
20:33:15.516;193399;50.000;23.562
