;;;;tempo (s);sp;fb
21:49:07.540;33199;0;6707;0,000;0;0,170
21:49:07.542;33299;0;6582;0,100;0;0,045
21:49:07.545;33399;0;6638;0,200;0;0,101
21:49:07.547;33499;0;6598;0,300;0;0,061
21:49:07.550;33599;0;6609;0,400;0;0,072
21:49:07.553;33699;0;6618;0,500;0;0,081
21:49:07.555;33799;0;6602;0,600;0;0,065
21:49:07.671;33899;0;6632;0,700;0;0,095
21:49:07.780;33999;0;6537;0,800;0;0,000
21:49:07.782;34099;0;6600;0,900;0;0,063
21:49:07.888;34199;0;6581;1,000;0;0,044
21:49:07.995;34299;0;6632;1,100;0;0,095
21:49:08.101;34399;0;6632;1,200;0;0,095
21:49:08.210;34499;0;6589;1,300;0;0,052
21:49:08.317;34599;0;6626;1,400;0;0,089
21:49:08.421;34699;0;6597;1,500;0;0,060
21:49:08.526;34799;0;6619;1,600;0;0,082
21:49:08.631;34899;0;6576;1,700;0;0,039
21:49:08.737;34999;0;6640;1,800;0;0,103
21:49:08.841;35099;0;6612;1,900;0;0,075
21:49:08.948;35199;0;6624;2,000;0;0,087
21:49:09.055;35299;0;6595;2,100;0;0,058
21:49:09.161;35399;0;6590;2,200;0;0,053
21:49:09.266;35499;0;6547;2,300;0;0,010
21:49:09.371;35599;0;6600;2,400;0;0,063
21:49:09.479;35699;0;6555;2,500;0;0,018
21:49:09.482;35799;0;6648;2,600;0;0,111
21:49:09.590;35899;0;6610;2,700;0;0,073
21:49:09.700;35999;0;6577;2,800;0;0,040
21:49:09.811;36099;0;6567;2,900;0;0,030
21:49:09.923;36199;0;6614;3,000;0;0,077
21:49:10.034;36299;0;6538;3,100;0;0,001
21:49:10.145;36399;0;6666;3,200;0;0,129
21:49:10.256;36499;0;6554;3,300;0;0,017
21:49:10.366;36599;0;6599;3,400;0;0,062
21:49:10.475;36699;0;6564;3,500;0;0,027
21:49:10.581;36799;0;6611;3,600;0;0,074
21:49:10.583;36899;0;6615;3,700;0;0,078
21:49:10.687;36999;0;6590;3,800;0;0,053
21:49:10.799;37099;0;6552;3,900;0;0,015
21:49:10.906;37199;0;6628;4,000;0;0,091
21:49:11.012;37299;0;6599;4,100;0;0,062
21:49:11.121;37399;0;6585;4,200;0;0,048
21:49:11.226;37499;0;6573;4,300;0;0,036
21:49:11.331;37599;0;6688;4,400;0;0,151
21:49:11.436;37699;0;6596;4,500;0;0,059
21:49:11.548;37799;0;6598;4,600;0;0,061
21:49:11.658;37899;0;6613;4,700;0;0,076
21:49:11.770;37999;0;6587;4,800;0;0,050
21:49:11.882;38099;0;6594;4,900;0;0,057
21:49:11.883;38199;0;6621;5,000;0;0,084
21:49:11.991;38299;0;6595;5,100;0;0,058
21:49:12.096;38399;0;6604;5,200;0;0,067
21:49:12.204;38499;0;6571;5,300;0;0,034
21:49:12.310;38599;0;6587;5,400;0;0,050
21:49:12.416;38699;0;6593;5,500;0;0,056
21:49:12.525;38799;0;6702;5,600;0;0,165
21:49:12.631;38899;0;6590;5,700;0;0,053
21:49:12.738;38999;0;6556;5,800;0;0,019
21:49:12.846;39099;0;6627;5,900;0;0,090
21:49:12.955;39199;0;6656;6,000;0;0,119
21:49:13.065;39299;0;6612;6,100;0;0,075
21:49:13.171;39399;0;6605;6,200;0;0,068
21:49:13.277;39499;0;6612;6,300;0;0,075
21:49:13.386;39599;0;6597;6,400;0;0,060
21:49:13.390;39699;30.000;6550;6,500;23,463;0,013
21:49:13.491;39799;30.000;7158;6,600;23,463;0,621
21:49:13.597;39899;30.000;7542;6,700;23,463;1,005
21:49:13.701;39999;30.000;7618;6,800;23,463;1,081
21:49:13.806;40099;30.000;8130;6,900;23,463;1,593
21:49:13.911;40199;30.000;8476;7,000;23,463;1,939
21:49:14.016;40299;30.000;8857;7,100;23,463;2,320
21:49:14.127;40399;30.000;9204;7,200;23,463;2,667
21:49:14.237;40499;30.000;9622;7,300;23,463;3,085
21:49:14.349;40599;30.000;10009;7,400;23,463;3,472
21:49:14.462;40699;30.000;10393;7,500;23,463;3,856
21:49:14.571;40799;30.000;10495;7,600;23,463;3,958
21:49:14.680;40899;30.000;10968;7,700;23,463;4,431
21:49:14.682;40999;30.000;11154;7,800;23,463;4,617
21:49:14.786;41099;30.000;11330;7,900;23,463;4,793
21:49:14.896;41199;30.000;11511;8,000;23,463;4,974
21:49:15.007;41299;30.000;12131;8,100;23,463;5,594
21:49:15.117;41399;30.000;12168;8,200;23,463;5,631
21:49:15.230;41499;30.000;12371;8,300;23,463;5,834
21:49:15.341;41599;30.000;12858;8,400;23,463;6,321
21:49:15.450;41699;30.000;12816;8,500;23,463;6,279
21:49:15.559;41799;30.000;13248;8,600;23,463;6,711
21:49:15.670;41899;30.000;13658;8,700;23,463;7,121
21:49:15.780;41999;30.000;14127;8,800;23,463;7,590
21:49:15.782;42099;30.000;14086;8,900;23,463;7,549
21:49:15.886;42199;30.000;14424;9,000;23,463;7,887
21:49:15.997;42299;30.000;14944;9,100;23,463;8,407
21:49:16.106;42399;30.000;15134;9,200;23,463;8,597
21:49:16.215;42499;30.000;15033;9,300;23,463;8,496
21:49:16.322;42599;30.000;15231;9,400;23,463;8,694
21:49:16.432;42700;30.000;15454;9,501;23,463;8,917
21:49:16.545;42799;30.000;15932;9,600;23,463;9,395
21:49:16.655;42899;30.000;15536;9,700;23,463;8,999
21:49:16.764;42999;30.000;16257;9,800;23,463;9,720
21:49:16.877;43099;30.000;16283;9,900;23,463;9,746
21:49:16.988;43199;30.000;16338;10,000;23,463;9,801
21:49:16.992;43299;30.000;16489;10,100;23,463;9,952
21:49:17.102;43399;30.000;17041;10,200;23,463;10,504
21:49:17.207;43499;30.000;16736;10,300;23,463;10,199
21:49:17.319;43599;30.000;17039;10,400;23,463;10,502
21:49:17.430;43699;30.000;17136;10,500;23,463;10,599
21:49:17.540;43799;30.000;17306;10,600;23,463;10,769
21:49:17.651;43899;30.000;17584;10,700;23,463;11,047
21:49:17.759;43999;30.000;17733;10,800;23,463;11,196
21:49:17.868;44099;30.000;17627;10,900;23,463;11,090
21:49:17.976;44199;30.000;18109;11,000;23,463;11,572
21:49:18.087;44299;30.000;18057;11,100;23,463;11,520
21:49:18.090;44399;30.000;18323;11,200;23,463;11,786
21:49:18.196;44499;30.000;18274;11,300;23,463;11,737
21:49:18.306;44599;30.000;18549;11,400;23,463;12,012
21:49:18.416;44699;30.000;18434;11,500;23,463;11,897
21:49:18.527;44799;30.000;18619;11,600;23,463;12,082
21:49:18.638;44899;30.000;18796;11,700;23,463;12,259
21:49:18.745;44999;30.000;19001;11,800;23,463;12,464
21:49:18.851;45099;30.000;19190;11,900;23,463;12,653
21:49:18.956;45199;30.000;18905;12,000;23,463;12,368
21:49:19.065;45299;30.000;19309;12,100;23,463;12,772
21:49:19.172;45399;30.000;19407;12,200;23,463;12,870
21:49:19.284;45499;30.000;18950;12,300;23,463;12,413
21:49:19.285;45599;30.000;19291;12,400;23,463;12,754
21:49:19.394;45699;30.000;20169;12,500;23,463;13,632
21:49:19.503;45799;30.000;19754;12,600;23,463;13,217
21:49:19.610;45899;30.000;19468;12,700;23,463;12,931
21:49:19.715;45999;30.000;19784;12,800;23,463;13,247
21:49:19.826;46099;30.000;20263;12,900;23,463;13,726
21:49:19.937;46199;30.000;20082;13,000;23,463;13,545
21:49:20.050;46299;30.000;20154;13,100;23,463;13,617
21:49:20.160;46399;30.000;20226;13,200;23,463;13,689
21:49:20.266;46499;30.000;20488;13,300;23,463;13,951
21:49:20.370;46599;30.000;20941;13,400;23,463;14,404
21:49:20.476;46699;30.000;20401;13,500;23,463;13,864
21:49:20.581;46799;30.000;20735;13,600;23,463;14,198
21:49:20.585;46899;30.000;20598;13,700;23,463;14,061
21:49:20.686;47000;30.000;20674;13,801;23,463;14,137
21:49:20.794;47099;30.000;20742;13,900;23,463;14,205
21:49:20.905;47199;30.000;20988;14,000;23,463;14,451
21:49:21.016;47299;30.000;20717;14,100;23,463;14,180
