20:41:48.777;ms;SP;FB
20:41:48.778;99;0.000;7.184
20:41:48.889;199;0.000;7.229
20:41:48.995;299;0.000;7.176
20:41:49.106;399;0.000;7.187
20:41:49.216;499;0.000;7.272
20:41:49.324;599;0.000;7.184
20:41:49.434;699;0.000;7.198
20:41:49.542;799;0.000;7.178
20:41:49.651;899;0.000;7.176
20:41:49.762;999;0.000;7.164
20:41:49.871;1099;0.000;7.178
20:41:49.873;1199;0.000;7.205
20:41:49.980;1299;0.000;7.219
20:41:50.085;1399;0.000;7.175
20:41:50.190;1499;0.000;7.160
20:41:50.295;1599;0.000;7.156
20:41:50.400;1699;0.000;6.525
20:41:50.506;1799;0.000;6.561
20:41:50.614;1899;0.000;6.617
20:41:50.720;1999;0.000;6.606
20:41:50.825;2099;0.000;6.576
20:41:50.930;2199;0.000;6.633
20:41:51.035;2299;0.000;6.634
20:41:51.141;2399;0.000;6.620
20:41:51.245;2499;0.000;6.673
20:41:51.352;2599;0.000;6.600
20:41:51.460;2699;0.000;6.532
20:41:51.572;2799;0.000;6.590
20:41:51.573;2899;0.000;6.594
20:41:51.684;2999;0.000;6.583
20:41:51.791;3099;0.000;6.634
20:41:51.901;3199;0.000;6.664
20:41:52.009;3299;0.000;6.610
20:41:52.118;3399;0.000;6.570
20:41:52.225;3499;0.000;6.594
20:41:52.331;3599;30.000;6.723
20:41:52.436;3699;30.000;6.792
20:41:52.542;3799;30.000;7.042
20:41:52.646;3899;30.000;7.069
20:41:52.758;3999;30.000;7.361
20:41:52.869;4099;30.000;7.689
20:41:52.872;4199;30.000;7.968
20:41:52.979;4299;30.000;8.097
20:41:53.088;4399;30.000;8.530
20:41:53.196;4499;30.000;8.623
20:41:53.302;4599;30.000;8.507
20:41:53.407;4699;30.000;8.750
20:41:53.511;4799;30.000;9.073
20:41:53.617;4899;30.000;9.102
20:41:53.725;4999;30.000;9.251
20:41:53.836;5099;30.000;9.413
20:41:53.948;5199;30.000;9.594
20:41:54.062;5299;30.000;9.884
20:41:54.170;5399;30.000;9.849
20:41:54.172;5499;30.000;10.207
20:41:54.276;5599;30.000;10.366
20:41:54.385;5699;30.000;10.423
20:41:54.491;5799;30.000;10.811
20:41:54.600;5899;30.000;10.445
20:41:54.707;5999;30.000;10.941
20:41:54.815;6099;30.000;11.217
20:41:54.922;6199;30.000;11.161
20:41:55.026;6299;30.000;11.336
20:41:55.135;6399;30.000;11.569
20:41:55.241;6499;30.000;11.443
20:41:55.346;6599;30.000;11.760
20:41:55.452;6699;30.000;11.937
