22:22:16.515;RX;ms;SP_pct;FB1_pct;FB2_pct;FB3_pct;FB4_pct;FB5_pct;FB6_pct
22:22:16.516;RX;115;0.000;8.059;9.206;8.034;10.403;10.012;7.741
22:22:16.517;RX;214;0.000;8.444;9.175;9.748;11.428;9.529;8.071
22:22:16.518;RX;314;0.000;8.448;9.717;7.634;9.937;9.327;7.774
22:22:16.631;RX;414;0.000;10.787;8.674;8.715;12.881;9.553;9.578
22:22:16.643;RX;514;0.000;8.564;8.203;8.392;11.651;9.685;10.220
22:22:16.755;RX;614;0.000;9.520;9.095;8.017;9.808;9.520;7.761
22:22:16.864;RX;715;0.000;7.234;10.169;8.173;10.224;9.562;7.889
22:22:16.969;RX;814;0.000;8.981;8.395;8.548;13.647;9.609;8.353
22:22:17.074;RX;914;0.000;9.398;9.039;7.816;9.809;9.699;7.560
22:22:17.181;RX;1014;0.000;10.587;8.365;9.585;10.671;9.670;8.345
22:22:17.290;RX;1114;0.000;7.312;9.844;10.357;10.171;9.550;7.903
22:22:17.399;RX;1214;0.000;8.344;8.856;8.105;13.997;9.878;8.497
22:22:17.511;RX;1314;0.000;8.469;8.853;7.793;10.014;9.806;7.565
22:22:17.622;RX;1414;0.000;9.404;8.521;8.607;13.843;9.771;8.501
22:22:17.628;RX;1514;0.000;9.109;8.645;7.994;11.990;9.694;7.856
22:22:17.729;RX;1614;0.000;8.662;8.902;7.714;9.972;9.420;7.896
22:22:17.834;RX;1714;0.000;9.997;9.109;7.843;9.916;9.811;7.716
22:22:17.939;RX;1814;0.000;7.467;9.285;10.189;10.298;9.558;7.907
22:22:18.045;RX;1914;0.000;8.668;8.681;9.296;13.148;9.697;8.751
22:22:18.153;RX;2014;0.000;8.794;8.667;8.319;12.422;9.729;8.358
22:22:18.262;RX;2114;0.000;7.742;9.394;8.967;9.899;10.466;8.047
22:22:18.368;RX;2214;0.000;7.991;9.058;8.194;12.663;9.338;8.224
22:22:18.476;RX;2314;0.000;10.582;9.342;7.773;10.015;9.049;7.701
22:22:18.585;RX;2414;0.000;8.339;9.314;7.643;10.380;9.303;7.473
22:22:18.691;RX;2514;0.000;7.538;9.692;10.254;9.650;9.769;7.821
22:22:18.801;RX;2615;0.000;8.120;11.466;10.175;9.316;9.711;7.652
22:22:18.908;RX;2714;0.000;9.200;10.150;7.536;10.002;9.677;7.498
22:22:19.020;RX;2814;0.000;8.929;9.301;8.594;13.788;8.965;8.920
22:22:19.022;RX;2914;0.000;10.632;9.255;8.669;12.266;9.085;8.363
22:22:19.132;RX;3014;0.000;7.856;9.470;8.520;11.392;9.381;9.969
22:22:19.242;RX;3114;0.000;8.127;9.731;8.826;11.889;9.230;8.291
22:22:19.350;RX;3214;0.000;8.054;9.523;8.196;11.182;9.307;8.428
22:22:19.461;RX;3314;0.000;8.251;9.036;8.222;11.843;9.342;8.140
22:22:19.568;RX;3414;0.000;9.951;9.459;8.144;12.334;9.084;8.240
22:22:19.674;RX;3514;0.000;9.051;9.258;7.901;9.710;9.339;7.357
22:22:19.782;RX;3614;30.000;8.092;9.731;8.839;9.621;9.799;7.553
22:22:19.893;RX;3714;30.000;8.055;9.631;8.147;10.149;9.604;7.842
22:22:20.002;RX;3814;30.000;8.342;9.575;8.172;10.426;9.836;8.304
22:22:20.113;RX;3914;30.000;8.724;9.480;8.204;10.326;10.289;8.270
22:22:20.224;RX;4014;30.000;8.724;9.740;8.521;10.439;9.527;8.518
22:22:20.226;RX;4114;30.000;8.800;10.293;8.528;10.852;9.874;8.892
22:22:20.333;RX;4214;30.000;9.000;9.958;8.570;10.854;10.232;9.346
22:22:20.441;RX;4314;30.000;9.222;9.962;8.982;11.061;9.968;9.121
22:22:20.550;RX;4414;30.000;9.327;10.117;9.061;10.122;10.525;8.812
22:22:20.662;RX;4514;30.000;9.684;10.091;9.081;11.300;10.339;9.445
22:22:20.768;RX;4614;30.000;9.769;10.679;9.239;11.411;10.051;9.902
22:22:20.880;RX;4714;30.000;9.823;10.522;9.870;11.533;11.612;9.694
22:22:20.991;RX;4814;30.000;9.739;11.177;10.502;11.584;10.708;9.936
22:22:21.100;RX;4914;30.000;10.740;10.734;9.943;10.931;11.049;9.614
22:22:21.210;RX;5015;30.000;10.936;10.754;10.183;11.152;11.037;9.638
22:22:21.319;RX;5114;30.000;10.576;11.058;9.754;11.788;10.901;10.453
22:22:21.320;RX;5214;30.000;10.805;11.169;10.447;11.815;11.131;10.245
22:22:21.428;RX;5314;30.000;10.872;10.800;11.276;12.250;11.447;10.361
22:22:21.538;RX;5414;30.000;11.803;10.911;10.991;11.854;11.452;10.166
22:22:21.643;RX;5514;30.000;11.316;11.229;10.396;12.093;11.292;11.145
22:22:21.752;RX;5614;30.000;11.079;11.378;11.690;12.518;11.612;10.731
22:22:21.861;RX;5714;30.000;11.429;11.182;11.437;12.050;12.150;10.482
22:22:21.971;RX;5814;30.000;11.597;11.202;11.527;11.595;11.832;10.390
22:22:22.080;RX;5914;30.000;10.967;10.884;11.774;11.624;12.027;11.310
22:22:22.192;RX;6014;30.000;11.833;11.333;11.959;12.067;11.948;11.183
22:22:22.303;RX;6114;30.000;12.066;11.593;11.350;12.400;11.900;11.479
22:22:22.411;RX;6214;30.000;11.899;10.927;12.234;12.610;12.130;11.377
22:22:22.517;RX;6314;30.000;12.981;11.238;12.259;12.294;11.928;11.274
22:22:22.518;RX;6414;30.000;12.419;11.691;12.070;12.107;12.239;11.849
22:22:22.623;RX;6514;30.000;12.511;12.302;12.472;12.369;12.249;11.881
22:22:22.731;RX;6614;30.000;13.099;11.452;13.141;12.449;12.233;11.741
22:22:22.843;RX;6714;30.000;13.460;11.278;12.730;12.462;12.142;12.004
22:22:22.951;RX;6814;30.000;12.682;11.353;12.830;12.258;12.449;12.033
22:22:23.062;RX;6914;30.000;13.751;11.039;13.061;12.565;12.435;12.421
22:22:23.171;RX;7014;30.000;13.641;10.990;13.089;12.298;12.429;12.483
22:22:23.281;RX;7114;30.000;13.272;11.297;13.193;12.123;12.708;12.576
22:22:23.392;RX;7214;30.000;13.193;11.187;13.003;12.199;12.494;12.137
22:22:23.502;RX;7314;30.000;13.378;11.021;13.647;12.479;12.605;12.414
22:22:23.611;RX;7414;30.000;13.733;11.135;13.548;12.270;12.434;12.923
22:22:23.721;RX;7514;30.000;14.240;12.079;13.841;12.534;12.627;12.784
22:22:23.723;RX;7614;30.000;14.168;11.465;14.271;12.753;12.712;12.966
22:22:23.832;RX;7714;30.000;14.214;10.989;13.863;12.271;12.491;13.277
22:22:23.944;RX;7814;30.000;13.633;11.565;13.785;12.499;12.516;13.078
22:22:24.056;RX;7914;30.000;14.083;11.847;14.485;12.353;12.600;12.921
22:22:24.164;RX;8015;30.000;13.298;10.980;14.838;13.146;12.541;13.307
22:22:24.277;RX;8114;30.000;14.145;11.506;14.305;12.335;12.557;13.873
22:22:24.384;RX;8214;30.000;14.389;12.141;15.535;12.331;12.608;13.818
22:22:24.492;RX;8314;30.000;14.491;11.134;14.601;13.086;12.455;13.911
22:22:24.599;RX;8414;30.000;14.788;11.752;14.777;12.595;12.641;13.555
22:22:24.705;RX;8514;30.000;14.196;11.250;14.542;11.958;12.700;14.118
22:22:24.814;RX;8614;30.000;14.840;11.093;14.522;12.207;12.492;14.116
22:22:24.924;RX;8714;30.000;15.012;12.434;14.815;12.429;12.617;13.913
22:22:24.925;RX;8815;30.000;14.737;11.415;14.844;11.507;12.619;14.854
22:22:25.030;RX;8914;30.000;15.142;10.717;15.107;12.877;12.534;14.294
22:22:25.138;RX;9014;30.000;15.182;11.321;14.807;12.536;12.705;15.041
22:22:25.248;RX;9114;30.000;15.490;12.482;15.570;12.304;12.645;14.246
22:22:25.357;RX;9214;30.000;15.128;11.650;15.202;12.386;12.584;14.765
22:22:25.464;RX;9314;30.000;14.974;11.294;15.431;11.908;12.665;14.854
22:22:25.576;RX;9414;30.000;15.664;11.332;14.958;13.056;12.472;14.724
22:22:25.688;RX;9514;30.000;16.188;10.907;15.163;12.193;12.693;14.463
22:22:25.795;RX;9614;30.000;16.031;11.870;15.360;12.404;12.470;14.775
22:22:25.903;RX;9714;30.000;15.866;11.084;15.982;12.687;12.470;15.166
22:22:26.012;RX;9814;30.000;15.910;11.330;15.132;13.022;12.389;15.281
22:22:26.124;RX;9914;30.000;16.055;12.782;15.474;12.320;12.584;15.049
22:22:26.125;RX;10014;30.000;16.196;11.084;15.685;12.540;12.647;14.495
22:22:26.232;RX;10114;30.000;16.332;10.887;15.340;12.250;12.184;14.792
22:22:26.344;RX;10214;30.000;16.055;11.743;15.717;12.360;12.569;15.386
22:22:26.456;RX;10314;30.000;15.509;11.200;16.017;12.190;12.627;15.516
22:22:26.568;RX;10414;30.000;16.278;11.228;15.934;12.142;12.577;14.982
22:22:26.680;RX;10514;30.000;16.215;11.180;16.312;12.621;12.769;15.068
22:22:26.792;RX;10614;30.000;16.402;11.567;15.666;13.101;12.672;15.598
22:22:26.902;RX;10714;30.000;16.386;12.130;16.525;12.361;12.628;15.731
22:22:27.010;RX;10814;30.000;15.735;11.059;16.201;11.251;12.529;16.168
22:22:27.119;RX;10914;30.000;16.578;11.189;16.261;12.454;12.361;15.150
22:22:27.121;RX;11014;30.000;16.675;11.867;16.035;12.847;12.599;15.719
22:22:27.225;RX;11114;30.000;15.485;11.300;16.419;11.937;12.749;16.186
22:22:27.334;RX;11214;30.000;16.478;11.301;16.709;13.013;12.229;16.019
22:22:27.444;RX;11314;30.000;16.470;12.434;15.877;12.425;12.550;15.872
22:22:27.551;RX;11414;30.000;15.920;11.492;16.541;11.835;12.660;16.225
22:22:27.660;RX;11514;30.000;16.691;10.477;16.261;12.906;12.806;15.905
22:22:27.773;RX;11614;30.000;16.582;12.514;16.478;12.582;12.607;16.798
