21:12:32.966;ms;SP_pct;FB1_pct;FB2_pct;FB3_pct;FB4_pct;FB5_pct;FB6_pct
21:12:32.968;115;0;7.155;7.302;6.618;7.399;6.984;7.009
21:12:32.971;214;0;9.206;7.497;6.374;7.350;6.960;3.394
21:12:32.972;314;0;7.179;7.350;6.716;7.204;7.155;6.984
21:12:32.975;414;0;7.155;7.375;6.716;7.399;6.935;7.009
21:12:32.976;514;0;7.179;7.546;6.862;7.350;7.009;7.106
21:12:32.978;614;0;6.984;7.302;6.569;7.277;6.960;6.984
21:12:32.980;714;0;7.106;7.277;10.427;7.350;7.155;6.960
21:12:32.983;814;0;7.009;7.302;4.811;7.350;6.862;6.960
21:12:33.089;914;0;7.082;7.302;5.446;7.521;6.960;6.960
21:12:33.197;1014;0;7.302;7.253;6.032;7.302;6.911;7.106
21:12:33.305;1114;0;7.204;7.326;6.520;7.399;7.009;7.009
21:12:33.306;1214;0;7.155;7.302;6.569;7.326;6.984;7.009
21:12:33.412;1314;0;7.204;7.350;6.813;7.497;3.834;7.033
21:12:33.518;1414;0;7.399;7.204;6.618;7.253;6.960;7.106
21:12:33.626;1514;0;7.228;7.253;6.618;7.497;6.911;6.960
21:12:33.734;1614;0;7.228;6.422;6.569;7.326;6.984;7.033
21:12:33.839;1714;0;7.155;7.350;6.618;7.204;6.911;7.009
21:12:33.947;1814;0;6.960;7.228;6.618;7.277;6.545;6.422
21:12:34.054;1914;0;7.106;7.253;6.569;7.253;6.960;6.960
21:12:34.163;2014;0;7.204;7.253;6.740;7.350;7.155;7.009
21:12:34.271;2114;0;7.253;7.350;6.618;7.399;6.911;7.009
21:12:34.378;2214;0;7.228;7.350;5.446;7.424;7.204;7.106
21:12:34.487;2314;0;7.155;7.277;6.545;7.253;4.884;7.033
21:12:34.596;2414;0;7.204;7.253;7.497;7.253;6.960;6.911
21:12:34.704;2514;0;6.935;7.253;6.618;7.399;6.960;3.541
21:12:34.706;2614;0;7.204;7.350;7.985;7.204;6.960;7.131
21:12:34.816;2714;0;7.302;7.253;6.593;7.228;7.009;7.106
