hora;direcao;linha
22:09:55.686;RX;
22:09:55.686;RX;
22:09:55.687;RX;
22:09:55.688;RX;
22:09:55.689;RX;
22:09:55.689;RX;
22:09:55.690;RX;
22:09:55.690;RX;
22:09:55.691;RX;
22:09:55.692;RX;
22:09:55.692;RX;
22:09:55.693;RX;
22:09:55.693;RX;
22:09:55.694;RX;
22:09:55.694;RX;
22:09:55.695;RX;
22:09:55.695;RX;
22:09:55.696;RX;
22:09:55.697;RX;
22:09:55.697;RX;
22:09:55.698;RX;
22:09:55.700;RX;
22:09:55.700;RX;
22:09:55.700;RX;
22:09:55.701;RX;
22:09:55.701;RX;
22:09:55.702;RX;
22:09:55.702;RX;
22:09:55.703;RX;
22:09:55.704;RX;
22:09:55.704;RX;
22:09:55.704;RX;
22:09:55.705;RX;
22:09:55.705;RX;
22:09:55.706;RX;
22:09:55.707;RX;
22:09:55.707;RX;
22:09:55.708;RX;
22:09:55.709;RX;
22:09:55.710;RX;
22:09:55.715;RX;
22:09:55.718;RX;
22:09:55.718;RX;
22:09:55.718;RX;
22:09:55.719;RX;
22:09:55.719;RX;
22:09:55.721;RX;
22:09:55.721;RX;
22:09:55.722;RX;
22:09:55.722;RX;
22:09:55.725;RX;
22:09:55.725;RX;
22:09:55.731;RX;
22:09:55.736;RX;
22:09:55.737;RX;
22:09:55.737;RX;
22:09:55.737;RX;
22:09:55.741;RX;
22:09:55.741;RX;
22:09:55.742;RX;
22:09:55.751;RX;
22:09:55.751;RX;
22:09:55.752;RX;
22:09:55.752;RX;
22:09:55.752;RX;
22:09:55.753;RX;
22:09:55.753;RX;
22:09:55.754;RX;
22:09:55.754;RX;
22:09:55.754;RX;
22:09:55.755;RX;
22:09:55.755;RX;
22:09:55.756;RX;
22:09:55.756;RX;
22:09:55.756;RX;
22:09:55.757;RX;
22:09:55.757;RX;
22:09:55.758;RX;
22:09:55.758;RX;
22:09:55.758;RX;
22:09:55.759;RX;
22:09:55.759;RX;
22:09:55.759;RX;
22:09:55.760;RX;
22:09:55.779;RX;
22:09:55.779;RX;
22:09:55.780;RX;
22:09:55.780;RX;
22:09:55.780;RX;
22:09:55.788;RX;
22:09:55.788;RX;
22:09:55.789;RX;
22:09:55.789;RX;
22:09:55.790;RX;
22:09:55.790;RX;
22:09:55.790;RX;
22:09:55.791;RX;
22:09:55.791;RX;
22:09:55.806;RX;
22:09:55.807;RX;
22:09:55.807;RX;
22:09:55.808;RX;
22:09:55.815;RX;
22:09:55.815;RX;
22:09:55.816;RX;
22:09:55.821;RX;
22:09:55.821;RX;
22:09:55.821;RX;
22:09:55.822;RX;
22:09:55.822;RX;
22:09:55.822;RX;
22:09:55.826;RX;
22:09:55.827;RX;
22:09:55.827;RX;
22:09:55.840;RX;
22:09:55.846;RX;
22:09:55.849;RX;
22:09:55.854;RX;
22:09:55.854;RX;
22:09:55.854;RX;
22:09:55.857;RX;
22:09:55.858;RX;
22:09:55.862;RX;
22:09:55.871;RX;
22:09:55.871;RX;
22:09:55.872;RX;
22:09:55.872;RX;
22:09:55.884;RX;
22:09:55.884;RX;
22:09:55.886;RX;
22:09:55.887;RX;
22:09:55.887;RX;
22:09:55.889;RX;
22:09:55.890;RX;
22:09:55.890;RX;
22:09:55.895;RX;
22:09:55.895;RX;
22:09:55.902;RX;
22:09:55.902;RX;
22:09:55.904;RX;
22:09:55.905;RX;
22:09:55.907;RX;
22:09:55.908;RX;
22:09:55.908;RX;
22:09:55.912;RX;
22:09:55.913;RX;
22:09:55.915;RX;
22:09:55.915;RX;
22:09:55.916;RX;
22:09:55.916;RX;
22:09:55.919;RX;
22:09:55.919;RX;
22:09:55.923;RX;
22:09:55.923;RX;
22:09:55.924;RX;
22:09:55.928;RX;
22:09:55.928;RX;
22:09:55.933;RX;
22:09:55.933;RX;
22:09:55.934;RX;
22:09:55.936;RX;
22:09:55.936;RX;
22:09:55.939;RX;
22:09:55.939;RX;
22:09:55.939;RX;
22:09:55.940;RX;
22:09:55.944;RX;
22:09:55.946;RX;
22:09:55.951;RX;
22:09:55.951;RX;
22:09:55.954;RX;
22:09:55.954;RX;
22:09:55.956;RX;
22:09:55.960;RX;
22:09:55.961;RX;
22:09:55.963;RX;
22:09:55.967;RX;
22:09:55.967;RX;
22:09:55.968;RX;
22:09:55.970;RX;
22:09:55.970;RX;
22:09:55.973;RX;
22:09:55.973;RX;
22:09:55.974;RX;
22:09:55.974;RX;
22:09:55.978;RX;
22:09:55.981;RX;
22:09:55.981;RX;
22:09:55.982;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:55.982;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:55.987;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:55.988;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:55.991;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:55.992;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:55.995;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:55.996;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:55.996;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.000;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.001;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.002;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.005;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.006;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.008;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.009;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.011;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.015;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.016;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.018;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.019;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.021;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.025;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.026;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.028;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.030;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.032;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.034;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.035;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.037;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.039;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.041;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.043;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.045;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.047;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
22:09:56.049;RX;"37299;10.000;9.021;9.523;9.629;8.995;9.497;9.655;0;0;0;0;0;0"
