hora;direcao;linha
19:51:26.428;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.429;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.430;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.431;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.432;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.432;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.433;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.434;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.435;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.435;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.439;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.440;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.440;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.441;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.442;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.443;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.443;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.444;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.445;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.446;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.446;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.447;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.448;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.449;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.450;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.450;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.451;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.452;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.453;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.453;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.454;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.455;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.456;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.457;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.457;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.458;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.459;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.462;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.462;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.465;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.467;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.470;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.474;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.477;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.481;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.484;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.488;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.490;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.492;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.494;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.495;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.497;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.499;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.504;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.507;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.509;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.511;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.513;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.515;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.517;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.519;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.521;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.523;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.525;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.527;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.529;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.531;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.533;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.535;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.537;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.539;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.541;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.542;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.544;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.546;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.548;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.550;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.552;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.554;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.556;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.558;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.559;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.561;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.563;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.565;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.567;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.569;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.571;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.573;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.574;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.576;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.578;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.580;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.582;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.584;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.586;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.588;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.590;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.592;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.594;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.596;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.598;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.599;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.601;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.603;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.605;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.606;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.608;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.610;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.612;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.614;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.616;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.617;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.620;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.621;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.623;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.625;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.645;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.647;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.648;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.650;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.652;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.654;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.656;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.659;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.660;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.662;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.665;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
19:51:26.667;RX;"0.000;0.000;0.058;0.000;0.069;0.000;0.000;0;0;0;0;0;0"
