hora;direcao;linha
22:09:57.400;RX;"76099;0.000;0.000;0"
22:09:57.511;RX;"76199;0.000;0.000;0"
22:09:57.621;RX;"76299;0.000;0.000;0"
22:09:57.622;RX;"76399;0.000;0.000;0"
22:09:57.728;RX;"76499;0.000;0.000;0"
22:09:57.838;RX;"76599;0.000;0.000;0"
22:09:57.949;RX;"76699;0.000;0.000;0"
22:09:58.056;RX;"76799;0.000;0.000;0"
22:09:58.166;RX;"76899;0.000;0.000;0"
22:09:58.278;RX;"76999;0.000;0.000;0"
22:09:58.388;RX;"77099;0.000;0.000;0"
22:09:58.499;RX;"77199;0.000;0.000;0"
22:09:58.610;RX;"77299;0.000;0.000;0"
22:09:58.721;RX;"77399;0.000;0.000;0"
22:09:58.722;RX;"77499;0.000;0.000;0"
22:09:58.827;RX;"77599;0.000;0.000;0"
22:09:58.932;RX;"77699;0.000;0.000;0"
22:09:59.037;RX;"77799;0.000;0.000;0"
22:09:59.142;RX;"77899;0.000;0.000;0"
22:09:59.246;RX;"77999;0.000;0.000;0"
22:09:59.351;RX;"78100;0.000;0.000;0"
22:09:59.460;RX;"78199;0.000;0.000;0"
22:09:59.565;RX;"78299;0.000;0.000;0"
22:09:59.670;RX;"78399;0.000;0.000;0"
22:09:59.781;RX;"78499;0.000;0.000;0"
22:09:59.890;RX;"78599;0.000;0.000;0"
22:09:59.995;RX;"78699;0.000;0.000;0"
22:10:00.100;RX;"78799;0.000;0.000;0"
22:10:00.205;RX;"78899;0.000;0.000;0"
22:10:00.317;RX;"78999;0.000;0.000;0"
22:10:00.429;RX;"79099;0.000;0.000;0"
22:10:00.429;RX;"79199;0.000;0.000;0"
22:10:00.538;RX;"79299;0.000;0.000;0"
22:10:00.645;RX;"79400;0.000;0.000;0"
22:10:00.750;RX;"79499;0.000;0.000;0"
22:10:00.855;RX;"79599;0.000;0.000;0"
22:10:00.960;RX;"79699;0.000;0.000;0"
22:10:01.065;RX;"79799;0.000;0.000;0"
22:10:01.170;RX;"79899;0.000;0.000;0"
22:10:01.278;RX;"79999;0.000;0.000;0"
22:10:01.390;RX;"80099;0.000;0.000;0"
22:10:01.498;RX;"80199;0.000;0.000;0"
22:10:01.603;RX;"80299;0.000;0.000;0"
22:10:01.713;RX;"80399;30.000;0.000;66"
22:10:01.825;RX;"80499;30.000;0.481;65"
22:10:01.827;RX;"80599;30.000;0.928;64"
22:10:01.937;RX;"80699;30.000;2.255;61"
22:10:02.042;RX;"80800;30.000;1.859;62"
22:10:02.148;RX;"80899;30.000;4.101;57"
22:10:02.254;RX;"80999;30.000;4.787;55"
22:10:02.364;RX;"81100;30.000;5.555;54"
22:10:02.468;RX;"81199;30.000;6.712;51"
22:10:02.573;RX;"81299;30.000;7.772;49"
