hora;direcao;linha
21:19:41.667;RX;ESP-ROM:esp32s3-20210327
21:19:41.668;RX;Build:Mar 27 2021
21:19:41.668;RX;rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
21:19:41.669;RX;SPIWP:0xee
21:19:41.670;RX;mode:DIO, clock div:1
21:19:41.670;RX;load:0x3fce3808,len:0x4bc
21:19:41.671;RX;load:0x403c9700,len:0xbd8
21:19:41.671;RX;load:0x403cc700,len:0x2a0c
21:19:41.672;RX;entry 0x403c98d0
21:19:41.673;RX;"sep=;"
21:19:41.674;RX;"ms;SP_mm;Y_mm;PWM"
21:19:41.674;RX;"99;0.000;0.000;0"
21:19:41.787;RX;"199;0.000;0.000;0"
21:19:41.892;RX;"299;0.000;0.000;0"
21:19:42.002;RX;"399;0.000;0.000;0"
21:19:42.111;RX;"499;0.000;0.000;0"
21:19:42.222;RX;"599;0.000;0.000;0"
21:19:42.331;RX;"699;0.000;0.000;0"
21:19:42.443;RX;"800;0.000;0.000;0"
21:19:42.550;RX;"899;0.000;0.000;0"
21:19:42.660;RX;"999;0.000;0.000;0"
21:19:42.662;RX;"1099;0.000;0.000;0"
21:19:42.767;RX;"1199;0.000;0.000;0"
21:19:42.876;RX;"1299;0.000;0.000;0"
21:19:42.986;RX;"1399;0.000;0.000;0"
21:19:43.094;RX;"1499;0.000;0.000;0"
21:19:43.202;RX;"1599;0.000;0.000;0"
21:19:43.307;RX;"1699;0.000;0.000;0"
21:19:43.412;RX;"1799;0.000;0.000;0"
21:19:43.523;RX;"1899;0.000;0.000;0"
21:19:43.635;RX;"1999;0.000;0.000;0"
21:19:43.746;RX;"2099;0.000;0.000;0"
21:19:43.858;RX;"2199;0.000;0.000;0"
21:19:43.965;RX;"2299;0.000;0.000;0"
21:19:43.966;RX;"2399;0.000;0.000;0"
21:19:44.072;RX;"2499;0.000;0.000;0"
21:19:44.177;RX;"2599;0.000;0.000;0"
21:19:44.282;RX;"2699;0.000;0.000;0"
21:19:44.392;RX;"2799;0.000;0.000;0"
21:19:44.503;RX;"2899;0.000;0.000;0"
21:19:44.617;RX;"2999;0.000;0.000;0"
21:19:44.722;RX;"3099;0.000;0.000;0"
21:19:44.827;RX;"3199;0.000;0.000;0"
21:19:44.932;RX;"3299;0.000;0.000;0"
