hora;direcao;linha
22:09:17.125;RX;"26099;0.000;0.215;0.000;0.000;0.000;0.000;0.000;8;0;0;0;0;0"
22:09:17.232;RX;"26199;0.000;1.119;0.000;0.000;0.000;0.000;0.000;9;0;0;0;0;0"
22:09:17.338;RX;"26299;0.000;0.585;0.000;0.000;0.000;0.000;0.000;9;0;0;0;0;0"
22:09:17.446;RX;"26399;0.000;1.121;0.000;0.000;0.000;0.000;0.000;9;0;0;0;0;0"
22:09:17.448;RX;"26499;0.000;3.581;0.000;0.000;0.000;0.000;0.000;12;0;0;0;0;0"
22:09:17.559;RX;"26599;0.000;1.918;0.000;0.000;0.000;0.000;0.000;10;0;0;0;0;0"
22:09:17.667;RX;"26699;0.000;1.135;0.000;0.000;0.000;0.000;0.000;9;0;0;0;0;0"
22:09:17.777;RX;"26799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
22:09:17.883;RX;"26899;0.000;0.537;0.000;0.000;0.000;0.000;0.000;9;0;0;0;0;0"
22:09:17.988;RX;"26999;0.000;3.368;0.000;0.000;0.000;0.000;0.000;11;0;0;0;0;0"
22:09:18.093;RX;"27099;0.000;1.492;0.000;0.000;0.000;0.000;0.000;9;0;0;0;0;0"
22:09:18.198;RX;"27199;0.000;1.014;0.000;0.000;0.000;0.000;0.000;9;0;0;0;0;0"
22:09:18.303;RX;"27299;0.000;2.613;0.000;0.000;0.000;0.000;0.000;11;0;0;0;0;0"
22:09:18.414;RX;"27399;0.000;2.680;0.000;0.000;0.000;0.000;0.000;11;0;0;0;0;0"
22:09:18.523;RX;"27499;0.000;2.899;0.000;0.000;0.000;0.000;0.000;11;0;0;0;0;0"
22:09:18.634;RX;"27599;0.000;0.330;0.000;0.000;0.000;0.000;0.000;8;0;0;0;0;0"
22:09:18.746;RX;"27699;0.000;2.052;0.000;0.000;0.000;0.000;0.000;10;0;0;0;0;0"
22:09:18.748;RX;"27799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
22:09:18.855;RX;"27899;0.000;8.262;0.000;0.000;0.000;0.000;0.000;16;0;0;0;0;0"
22:09:18.967;RX;"27999;0.000;2.646;0.000;0.000;0.000;0.000;0.000;11;0;0;0;0;0"
22:09:19.078;RX;"28099;0.000;1.859;0.000;0.000;0.000;0.000;0.000;10;0;0;0;0;0"
22:09:19.189;RX;"28199;0.000;0.154;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
22:09:19.301;RX;"28299;0.000;0.449;0.000;0.000;0.000;0.000;0.000;8;0;0;0;0;0"
22:09:19.414;RX;"28399;0.000;1.656;0.000;0.000;0.000;0.000;0.000;10;0;0;0;0;0"
22:09:19.526;RX;"28499;0.000;2.951;0.000;0.000;0.000;0.000;0.000;11;0;0;0;0;0"
22:09:19.634;RX;"28599;0.000;1.075;0.000;0.000;0.000;0.000;0.000;9;0;0;0;0;0"
22:09:19.743;RX;"28699;0.000;0.602;0.000;0.000;0.000;0.000;0.000;9;0;0;0;0;0"
22:09:19.851;RX;"28799;0.000;2.372;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:19.852;RX;"28899;0.000;0.561;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:19.959;RX;"28999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.068;RX;"29099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.178;RX;"29199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.287;RX;"29299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.397;RX;"29399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.508;RX;"29499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.619;RX;"29599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.731;RX;"29699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.844;RX;"29799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.955;RX;"29899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:20.958;RX;"29999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:21.060;RX;"30099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:21.165;RX;"30199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:21.270;RX;"30299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:21.374;RX;"30399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:21.484;RX;"30499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:21.596;RX;"30599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:21.706;RX;"30699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:21.815;RX;"30799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:21.925;RX;"30899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:22.036;RX;"30999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
22:09:22.160;RX;"31099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;80;0;0;0;0;0"
