20:53:23.077;ms;SP;FB
20:53:23.078;99;0.000;7.131
20:53:23.078;199;0.000;7.177
20:53:23.184;299;0.000;7.154
20:53:23.292;399;0.000;7.161
20:53:23.396;499;0.000;7.148
20:53:23.508;599;0.000;7.176
20:53:23.620;699;0.000;7.175
20:53:23.730;799;0.000;7.162
20:53:23.842;899;0.000;7.149
20:53:23.954;999;0.000;6.906
20:53:24.067;1099;0.000;7.002
20:53:24.177;1199;0.000;7.002
20:53:24.179;1299;0.000;7.139
20:53:24.290;1399;0.000;7.023
20:53:24.404;1499;0.000;7.008
20:53:24.513;1599;0.000;7.010
20:53:24.625;1699;0.000;6.998
20:53:24.736;1799;0.000;7.002
20:53:24.847;1899;0.000;6.992
20:53:24.959;1999;0.000;7.019
20:53:25.071;2099;0.000;7.022
20:53:25.074;2199;0.000;7.027
20:53:25.183;2299;0.000;7.053
20:53:25.292;2399;0.000;7.041
20:53:25.404;2499;0.000;6.987
20:53:25.515;2599;0.000;7.040
20:53:25.625;2699;0.000;7.015
20:53:25.735;2799;0.000;6.981
20:53:25.844;2899;0.000;7.044
20:53:25.956;2999;0.000;7.034
20:53:26.067;3099;0.000;6.980
20:53:26.179;3199;0.000;7.000
20:53:26.181;3299;0.000;7.019
20:53:26.288;3399;0.000;7.092
20:53:26.397;3499;0.000;7.039
20:53:26.509;3599;0.000;7.020
20:53:26.620;3699;30.000;7.081
20:53:26.726;3799;30.000;7.427
20:53:26.835;3899;30.000;7.484
20:53:26.941;3999;30.000;7.576
20:53:27.046;4099;30.000;8.004
20:53:27.156;4199;30.000;7.784
20:53:27.264;4299;30.000;8.374
20:53:27.372;4399;30.000;8.614
20:53:27.374;4499;30.000;8.667
20:53:27.479;4599;30.000;8.862
20:53:27.591;4699;30.000;9.033
20:53:27.701;4799;30.000;9.069
20:53:27.810;4899;30.000;9.144
20:53:27.918;4999;30.000;9.295
20:53:28.026;5099;30.000;9.573
20:53:28.136;5199;30.000;9.780
20:53:28.241;5299;30.000;9.871
20:53:28.346;5399;30.000;9.775
20:53:28.452;5499;30.000;10.171
20:53:28.555;5599;30.000;10.391
20:53:28.664;5699;30.000;10.933
20:53:28.774;5799;30.000;10.818
20:53:28.776;5899;30.000;10.805
20:53:28.881;5999;30.000;11.109
20:53:28.986;6099;30.000;11.070
20:53:29.091;6199;30.000;11.303
20:53:29.200;6299;30.000;11.657
20:53:29.305;6399;30.000;11.420
20:53:29.411;6499;30.000;11.613
20:53:29.516;6599;30.000;11.976
20:53:29.621;6699;30.000;11.980
20:53:29.730;6799;30.000;11.722
20:53:29.843;6899;30.000;12.027
20:53:29.954;6999;30.000;12.108
20:53:30.065;7099;30.000;12.252
20:53:30.175;7199;30.000;12.443
20:53:30.177;7299;30.000;12.606
20:53:30.281;7399;30.000;12.959
20:53:30.387;7499;30.000;12.965
20:53:30.495;7599;30.000;12.870
20:53:30.601;7699;30.000;13.056
20:53:30.710;7799;30.000;12.900
