hora;direcao;linha
22:57:51.186;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.195;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.197;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.199;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.199;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.200;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.201;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.202;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.204;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.205;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.207;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.208;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.208;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.209;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.209;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.209;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.212;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.213;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.215;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.216;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.217;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.218;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.219;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.221;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.222;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.223;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.224;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.225;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.226;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.227;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.228;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.229;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.230;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.231;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.233;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.234;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.235;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.236;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.238;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.239;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.240;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.241;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.242;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.243;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.244;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.245;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.247;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.248;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.249;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.250;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.254;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.259;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.262;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.267;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.271;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.276;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.279;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.287;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.290;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.293;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.301;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.304;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.317;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.320;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.344;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.347;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.350;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.363;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.367;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.372;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.376;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.382;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.385;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.388;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.394;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.398;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.403;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.406;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.411;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.414;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.420;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.423;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.429;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.432;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.438;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.441;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.446;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.449;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.453;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.458;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.461;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.467;RX;"6.744;7.866;255;255;255;255;255;255"
22:57:51.470;RX;"6.744;7.866;255;255;255;255;255;255"
