hora;direcao;linha
19:56:54.621;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.623;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.624;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.626;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.626;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.627;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.628;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.630;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.632;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.633;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.633;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.635;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.636;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.636;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.637;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.638;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.640;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.641;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.642;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.642;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.644;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.645;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.647;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.648;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.648;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.650;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.652;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.653;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.653;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.655;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.656;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.657;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.659;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.659;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.661;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.662;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.663;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.663;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.664;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.666;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.668;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.670;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.672;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.675;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.677;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.680;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.683;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.685;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.689;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.693;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:56:54.695;RX;";0.000;0.010;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
