hora;direcao;linha
21:01:43.253;RX;"789299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:43.362;RX;"789399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:43.467;RX;"789499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:43.577;RX;"789599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:43.580;RX;"789699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:43.685;RX;"789799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:43.793;RX;"789899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:43.903;RX;"790000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.009;RX;"790099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.119;RX;"790199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.227;RX;"790299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.334;RX;"790399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.443;RX;"790499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.553;RX;"790599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.665;RX;"790699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.774;RX;"790799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.777;RX;"790899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.882;RX;"790999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:44.999;RX;"791099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:45.108;RX;"791199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:45.217;RX;"791299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:45.328;RX;"791399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:45.432;RX;"791499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:45.538;RX;"791599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:45.647;RX;"791699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:45.755;RX;"791799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:45.860;RX;"791899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:45.967;RX;"792000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:46.075;RX;"792099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
21:01:46.078;RX;"792199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
