hora;direcao;linha
22:16:58.853;RX;"28299;10.000;14.170;14.343;14.187;14.425;14.335;14.360;0;0;0;0;0;0"
22:16:58.854;RX;"28399;10.000;13.864;14.376;14.294;14.334;14.360;14.261;0;0;0;0;0;0"
22:16:58.963;RX;"28499;10.000;14.417;13.988;14.294;14.450;14.344;14.575;0;0;0;0;0;0"
22:16:59.071;RX;"28599;10.000;14.409;13.947;14.286;13.790;14.302;14.393;0;0;0;0;0;0"
22:16:59.178;RX;"28699;10.000;14.203;13.914;14.492;14.516;14.360;14.517;0;0;0;0;0;0"
22:16:59.288;RX;"28799;10.000;14.277;14.079;14.484;14.120;14.253;14.368;0;0;0;0;0;0"
22:16:59.398;RX;"28899;10.000;14.227;14.112;14.443;14.178;14.385;14.203;0;0;0;0;0;0"
22:16:59.507;RX;"28999;10.000;14.145;14.219;14.476;14.376;14.360;14.385;0;0;0;0;0;0"
22:16:59.615;RX;"29099;10.000;14.095;13.938;14.434;13.534;14.360;14.269;0;0;0;0;0;0"
22:16:59.723;RX;"29199;10.000;14.351;14.285;14.261;14.351;14.377;14.244;0;0;0;0;0;0"
22:16:59.833;RX;"29299;10.000;13.856;14.293;14.286;14.384;14.261;14.294;0;0;0;0;0;0"
22:16:59.940;RX;"29399;10.000;14.310;14.029;14.278;14.285;14.195;14.360;0;0;0;0;0;0"
22:17:00.045;RX;"29500;10.000;14.112;14.021;14.385;14.244;14.492;14.335;0;0;0;0;0;0"
22:17:00.047;RX;"29599;10.000;14.326;14.013;14.385;14.070;14.269;14.434;0;0;0;0;0;0"
22:17:00.153;RX;"29699;10.000;14.310;14.013;14.451;14.045;14.401;14.443;0;0;0;0;0;0"
22:17:00.261;RX;"29799;10.000;14.401;14.145;14.525;14.194;14.319;14.500;0;0;0;0;0;0"
22:17:00.371;RX;"29899;10.000;13.930;14.103;14.484;13.814;14.294;14.542;0;0;0;0;0;0"
22:17:00.478;RX;"29999;10.000;14.037;14.145;14.410;14.400;14.368;14.385;0;0;0;0;0;0"
22:17:00.586;RX;"30099;10.000;14.170;14.244;14.484;14.252;14.451;14.434;0;0;0;0;0;0"
22:17:00.697;RX;"30199;10.000;14.409;14.004;14.311;14.409;14.277;14.500;0;0;0;0;0;0"
22:17:00.804;RX;"30299;10.000;14.120;14.384;14.187;14.310;14.385;14.236;0;0;0;0;0;0"
22:17:00.914;RX;"30399;10.000;14.062;14.326;14.492;14.128;14.368;14.327;0;0;0;0;0;0"
